ID_Pelanggan,Gender,Usia,Pendapatan_Tahunan_Ribuan_USD,Pengeluaran_USD
1,Pria,19,15,39
2,Pria,21,15,81
3,Wanita,20,16,6
4,Wanita,23,16,77
5,Wanita,31,17,40
6,Wanita,22,17,76
7,Wanita,35,18,6
8,Wanita,23,18,94
9,Pria,64,19,3
10,Wanita,30,19,72
11,Pria,67,19,14
12,Wanita,35,19,99
13,Wanita,58,20,15
14,Wanita,24,20,77
15,Pria,37,20,13
16,Pria,22,20,79
17,Wanita,35,21,35
18,Pria,20,21,66
19,Pria,52,23,29
20,Wanita,35,23,98
21,Pria,35,24,35
22,Pria,25,24,73
23,Wanita,46,25,5
24,Pria,31,25,73
25,Wanita,54,28,14
26,Pria,29,28,82
27,Wanita,45,28,32
28,Pria,35,28,61
29,Wanita,40,29,31
30,Wanita,23,29,87
31,Pria,60,30,4
32,Wanita,21,30,73
33,Pria,53,33,4
34,Pria,18,33,92
35,Wanita,49,33,14
36,Wanita,21,33,81
37,Wanita,42,34,17
38,Wanita,30,34,73
39,Wanita,36,37,26
40,Wanita,20,37,75
41,Wanita,65,38,35
42,Pria,24,38,92
43,Pria,48,39,36
44,Wanita,31,39,61
45,Wanita,49,39,28
46,Wanita,24,39,65
47,Wanita,50,40,55
48,Wanita,27,40,47
49,Wanita,29,40,42
50,Wanita,31,40,42
51,Wanita,49,42,52
52,Pria,33,42,60
53,Wanita,31,43,54
54,Pria,59,43,60
55,Wanita,50,43,45
56,Pria,47,43,41
57,Wanita,51,44,50
58,Pria,69,44,46
59,Wanita,27,46,51
60,Pria,53,46,46
61,Pria,70,46,56
62,Pria,19,46,55
63,Wanita,67,47,52
64,Wanita,54,47,59
65,Pria,63,48,51
66,Pria,18,48,59
67,Wanita,43,48,50
68,Wanita,68,48,48
69,Pria,19,48,59
70,Wanita,32,48,47
71,Pria,70,49,55
72,Wanita,47,49,42
73,Wanita,60,50,49
74,Wanita,60,50,56
75,Pria,59,54,47
76,Pria,26,54,54
77,Wanita,45,54,53
78,Pria,40,54,48
79,Wanita,23,54,52
80,Wanita,49,54,42
81,Pria,57,54,51
82,Pria,38,54,55
83,Pria,67,54,41
84,Wanita,46,54,44
85,Wanita,21,54,57
86,Pria,48,54,46
87,Wanita,55,57,58
88,Wanita,22,57,55
89,Wanita,34,58,60
90,Wanita,50,58,46
91,Wanita,68,59,55
92,Pria,18,59,41
93,Pria,48,60,49
94,Wanita,40,60,40
95,Wanita,32,60,42
96,Pria,24,60,52
97,Wanita,47,60,47
98,Wanita,27,60,50
99,Pria,48,61,42
100,Pria,20,61,49
101,Wanita,23,62,41
102,Wanita,49,62,48
103,Pria,67,62,59
104,Pria,26,62,55
105,Pria,49,62,56
106,Wanita,21,62,42
107,Wanita,66,63,50
108,Pria,54,63,46
109,Pria,68,63,43
110,Pria,66,63,48
111,Pria,65,63,52
112,Wanita,19,63,54
113,Wanita,38,64,42
114,Pria,19,64,46
115,Wanita,18,65,48
116,Wanita,19,65,50
117,Wanita,63,65,43
118,Wanita,49,65,59
119,Wanita,51,67,43
120,Wanita,50,67,57
121,Pria,27,67,56
122,Wanita,38,67,40
123,Wanita,40,69,58
124,Pria,39,69,91
125,Wanita,23,70,29
126,Wanita,31,70,77
127,Pria,43,71,35
128,Pria,40,71,95
129,Pria,59,71,11
130,Pria,38,71,75
131,Pria,47,71,9
132,Pria,39,71,75
133,Wanita,25,72,34
134,Wanita,31,72,71
135,Pria,20,73,5
136,Wanita,29,73,88
137,Wanita,44,73,7
138,Pria,32,73,73
139,Pria,19,74,10
140,Wanita,35,74,72
141,Wanita,57,75,5
142,Pria,32,75,93
143,Wanita,28,76,40
144,Wanita,32,76,87
145,Pria,25,77,12
146,Pria,28,77,97
147,Pria,48,77,36
148,Wanita,32,77,74
149,Wanita,34,78,22
150,Pria,34,78,90
151,Pria,43,78,17
152,Pria,39,78,88
153,Wanita,44,78,20
154,Wanita,38,78,76
155,Wanita,47,78,16
156,Wanita,27,78,89
157,Pria,37,78,1
158,Wanita,30,78,78
159,Pria,34,78,1
160,Wanita,30,78,73
161,Wanita,56,79,35
162,Wanita,29,79,83
163,Pria,19,81,5
164,Wanita,31,81,93
165,Pria,50,85,26
166,Wanita,36,85,75
167,Pria,42,86,20
168,Wanita,33,86,95
169,Wanita,36,87,27
170,Pria,32,87,63
171,Pria,40,87,13
172,Pria,28,87,75
173,Pria,36,87,10
174,Pria,36,87,92
175,Wanita,52,88,13
176,Wanita,30,88,86
177,Pria,58,88,15
178,Pria,27,88,69
179,Pria,59,93,14
180,Pria,35,93,90
181,Wanita,37,97,32
182,Wanita,32,97,86
183,Pria,46,98,15
184,Wanita,29,98,88
185,Wanita,41,99,39
186,Pria,30,99,97
187,Wanita,54,101,24
188,Pria,28,101,68
189,Wanita,41,103,17
190,Wanita,36,103,85
191,Wanita,34,103,23
192,Wanita,32,103,69
193,Pria,33,113,8
194,Wanita,38,113,91
195,Wanita,47,120,16
196,Wanita,35,120,79
197,Wanita,45,126,28
198,Pria,32,126,74
199,Pria,32,137,18
200,Pria,30,137,83
